Creditscore,Creditscoreindicator,Likelihoodoffailure,CreditlimitGBPGBP,Previouscreditscore,SMEindicator,ReturnonTotalAssets2020,ReturnonTotalAssets2019,ReturnonShareholdersFunds2020,ReturnonShareholdersFunds2019,ReturnonCapitalEmployed2020,ReturnonCapitalEmployed2019,TurnoverthGBP2020,TurnoverthGBP2019,NetAssetsTurnoverx2020,NetAssetsTurnoverx2019,TradeCreditorsthGBP2020,TradeCreditorsthGBP2019,StockTurnoverx2020,StockTurnoverx2019,StockWIPthGBP2020,StockWIPthGBP2019,NetCurrentAssets2020,NetCurrentAssets2019,FixedAssetsthGBP2020,FixedAssetsthGBP2019,IntangibleAssetsthGBP2020,IntangibleAssetsthGBP2019,TotalAssetsthGBP2020,TotalAssetsthGBP2019,OrdinarySharesthGBP2020,OrdinarySharesthGBP2019,RetainedProfitLossGBP2020,RetainedProfitLossthGBP2019,CurrentAssetsthGBP2020,CurrentAssetsthGBP2019,CurrentLiabilitiesthGBP2020,CurrentLiabilitiesthGBP2019,LiquidityRatiox2020,LiquidityRatiox2019,LongTermDebtthGBP2020,LongTermDebtthGBP2019,ShortTermLoansOverdrafts2020,ShortTermLoansOverdrafts2019,CapitalExpenditure2020,CapitalExpenditure2019,InterestPaidthGBP2020,InterestPaidthGBP2019,InterestCoverx2020,InterestCoverx2019,Numberofemployees2020,Numberofemployees2019,IssuedCapitalthGBP2020,IssuedCapitalthGBP2019,AdministrationExpensesthGBP2020,AdministrationExpensesthGBP2019,EBITDAthGBP2020,EBITDAthGBP2019,BankDepositsthGBP2020,BankDepositsthGBP2019,Gearing2020,Gearing2019,ShareholdersFundsthGBP2020,ShareholdersFundsthGBP2019,TaxationthGBP2020,TaxationthGBP2019,Grossmargin2020,Grossmargin2019,Currentratiox2020,Currentratiox2019,SolvencyratioLiabilitybased2020,SolvencyratioLiabilitybased2019
92,Secure,.9,50000000,92,No,9.468793244,16.263294818,15.386868843,27.143694889,13.951397132,24.218818925,3271983,4478707,.905315714,1.190149045,-182621,-343568,.662277303,.957819604,4940503,4675940,3412473,3472341,201717,290807,,,5325177,5603969,1,1,-85827,242145,5123460,5313162,-1710987,-1840821,.106930678,.346161848,,-377361,-469419,-822488,,,-23524,-26162,22.434704982,35.836403945,6065,5924,1,1,-115159,-171083,476870,873878,66134,66929,24.613680438,36.572822234,3277015,3357649,-90041,-169229,17.922464756,23.277588822,2.994447065,2.886300189,,
55,Normal,4.2,500,64,No,1.364189591,-6.705536226,,,-1.448801854,8.293688761,2626072,2005315,,,-14718,-293522,17.171613342,13.188263303,152931,152053,-768096,-729415,278381,277903,,,520089,558449,320615,312080,22679,-20271,241708,280546,-1009804,-1009961,.087915081,.127225705,-2492,-3065,-960310,-667061,,,-1329,-681,6.338600451,-53.98825257,2657,2687,320615,312080,-17755,-23781,51162,-597,209,861,,,-637071,-679792,15584,17177,.856031365,-.787956007,.239361302,.277779043,,
92,Secure,.9,11052000,89,No,,-.097755533,,-.550176056,,-.489141068,,2244000,,4.390530229,,-351100,,8.630769231,,260000,,287900,,223200,,48100,,2557400,,49200,,-53600,,2334200,,-2046300,,1.013634364,,-7500,,-1548900,,,,-100,,-24,,9185,,49200,,-534600,,48400,,22100,,353.345070423,,454400,,1000,,26.764705882,,1.140692958,,21.60722777
99,Secure,.9,50000000,99,No,5.925703632,11.042812666,14.224417039,25.105183024,7.921280641,13.778248379,2160287,2187760,.803912375,.872182537,-170116,-281245,2.654205435,3.18143282,813911,687665,2516613,2337688,170604,170686,,1920,3592181,3129728,1000,1000,147075,278722,3421577,2959042,-904964,-621354,2.881513519,3.655528089,-900000,-820000,-556293,-163620,,,-14260,-20586,15.927208976,17.78859419,11058,12560,1000,1000,-645663,-642921,241851,304398,41362,125456,116.746243622,94.094205636,1496455,1376648,-65787,-66888,29.535242308,34.299786083,3.780898467,4.762248251,71.405088261,78.52739179
40,Caution,4.2,320038,23,No,,-593.706666667,,-593.706666667,,-593.706666667,,1924300,,128.286666667,,,,,,,,15000,,,,,,15000,,15000,,-72704,,15000,,,,,,,,,,,,-51969,,-.713636976,,8840,,15000,,-213153,,24187,,,,,,15000,,16352,,8.948708621,,,,
83,Secure,.9,8755000,73,No,,.748662274,,47.583917374,,47.432283368,,1846955,,226.370265964,,-294669,,4.685859624,,394155,,-33948,,42107,,18173,,516922,,10000,,2778,,474815,,-508763,,.158541403,,-26,,-156396,,,,-3688,,2.049349241,,3472,,10000,,-171448,,14152,,48028,,,,8133,,-1092,,9.691627571,,.9332734499999999,,1.59850154
37,Caution,4.2,7880000,93,No,,.408192724,,.6328792,,.5289273410000001,,1834549,,1.949654662,,-129993,,5.127002049,,357821,,494507,,446454,,34262,,1219277,,,,-11889,,772823,,-278316,,1.49111801,,-110007,,-4670,,,,-14901,,1.334004429,,3170,,,,-134440,,69704,,213938,,20.247302284,,786406,,-16822,,8.996543565,,2.776782506,,
95,Secure,.9,50000000,95,No,5.87355689,9.906484214000001,10.013571215,17.084870685,8.705940093000001,15.873593404,1557289,1695988,1.110910656,1.399264226,-439883,-545945,1.00975723,1.113281091,1542241,1523414,1157935,992795,243878,219262,3261,3148,2077804,1942132,950,950,86063,149632,1833926,1722870,-675991,-730075,.431492431,.273199329,-125000,-35000,-57228,-19232,,-59803,-11694,-16955,11.436206602,12.34750811,4024,3867,950,950,-162380,-164509,166219,232631,185378,86790,19.715595246,9.338572538999999,1218756,1126125,-22376,-34039,18.756313054,21.718726783,2.712944403,2.35985344,,
99,Secure,.9,50000000,99,No,5.866210006,9.909402137000001,10.019804457,17.129531501,8.709529998000001,15.913257725,1551211,1693876,1.109412849,1.401421712,-438440,-545045,1.014341399,1.118067753,1529279,1515003,1154349,989422,243878,219262,3261,3148,2075940,1940995,950,950,85953,158312,1832062,1721733,-677713,-732311,.446771716,.282298095,-125000,-35000,-60372,-22971,,-59803,-11695,-16955,11.412911501,12.344205249,4024,3867,950,950,-162331,-164519,165361,232260,184278,85947,20.011469635,9.688902109000001,1215383,1122862,-22326,-34029,18.771334138,21.724494591,2.70330066,2.351095368,,
95,Secure,.9,9344000,99,No,,4.152038636,,20.710244514,,16.043007818,,1484299,,11.25466512,,-43712,,5.806071677,,255646,,5638,,126245,,4610,,509581,,10,,7361,,383336,,-377698,,.338074335,,-27173,,-232496,,,,-4661,,5.539369234,,2301,,10,,-140407,,32525,,68572,,256.667841272,,102162,,-3797,,11.198956544,,1.01492727,,25.075413763
